component_name,unit_name,operand_name,current_state,event_type,route_path,http_method,next_state,description
catalog,action,register,FAILED,CatalogRegisterRestarted,/catalog/register,POST,RESTARTED,Register Catalog for action from FAILED to RESTARTED
catalog,action,register,TERMINATED,CatalogRegisterRestarted,/catalog/register,POST,RESTARTED,Register Catalog for action from TERMINATED to RESTARTED
catalog,action,register,PAUSED,CatalogRegisterCompleted,/catalog/register,POST,COMPLETED,Register Catalog for action from PAUSED to COMPLETED
catalog,action,register,PAUSED,CatalogRegisterTerminated,/catalog/register,POST,TERMINATED,Register Catalog for action from PAUSED to TERMINATED
catalog,action,register,PAUSED,CatalogRegisterContinued,/catalog/register,POST,CONTINUED,Register Catalog for action from PAUSED to CONTINUED
catalog,action,register,CONTINUED,CatalogRegisterFailed,/catalog/register,POST,FAILED,Register Catalog for action from CONTINUED to FAILED
catalog,action,register,CONTINUED,CatalogRegisterCompleted,/catalog/register,POST,COMPLETED,Register Catalog for action from CONTINUED to COMPLETED
catalog,action,register,CONTINUED,CatalogRegisterTerminated,/catalog/register,POST,TERMINATED,Register Catalog for action from CONTINUED to TERMINATED
catalog,action,register,CONTINUED,CatalogRegisterPaused,/catalog/register,POST,PAUSED,Register Catalog for action from CONTINUED to PAUSED
catalog,action,register,RESTARTED,CatalogRegisterFailed,/catalog/register,POST,FAILED,Register Catalog for action from RESTARTED to FAILED
catalog,action,register,RESTARTED,CatalogRegisterCompleted,/catalog/register,POST,COMPLETED,Register Catalog for action from RESTARTED to COMPLETED
catalog,action,register,RESTARTED,CatalogRegisterTerminated,/catalog/register,POST,TERMINATED,Register Catalog for action from RESTARTED to TERMINATED
catalog,action,register,RESTARTED,CatalogRegisterPaused,/catalog/register,POST,PAUSED,Register Catalog for action from RESTARTED to PAUSED
catalog,action,register,RESTARTED,CatalogRegisterContinued,/catalog/register,POST,CONTINUED,Register Catalog for action from RESTARTED to CONTINUED
catalog,cursor,register,REQUESTED,CatalogRegisterRegistered,/catalog/register,POST,REGISTERED,Register Catalog for cursor from REQUESTED to REGISTERED
